team_size,median_norm,mean_norm,n
1,0.7179930242033975,1.0851781370470228,3713
2,0.7179930242033975,0.9737400859973494,10996
3,0.7209399185810244,0.9524047720479566,15310
4,0.7402771568837376,0.9651929949118996,17471
5,0.7456081405189128,0.9691490234533454,16191
6,0.7621067514673655,0.9944903795480556,12818
7,0.7600779566912892,1.0064243529661674,7927
8,0.7711996096483515,1.0050729300942187,5028
9,0.7682692607687924,1.0301092479634049,3004
10,0.7660955623880188,1.0070903102843185,2089
11,0.7403030158999073,1.0073536119813125,1252
12,0.7415730336828683,1.0296334012035235,901
13,0.7403030158999073,1.0012722339563904,641
14,0.7849431810991535,1.1165730011543822,452
15,0.7511467888901739,1.0065353492678901,380
16,0.7447329162180932,1.049738550020264,250
17,0.7330728562506961,0.9969328999252693,236
18,0.7867445054731619,1.204960894556412,161
19,0.8156012464429883,1.134788092764596,140
20,0.7552213866577443,1.0468879461074714,116
21,0.6351476752568516,0.9833069028318613,87
22,0.641595947113253,1.0739643502432241,73
23,0.8558417894986257,1.1998592585465975,68
24,0.641595947113253,0.7800868877191058,57
25,0.6421341108724723,0.913006981684459,54
26,0.8689275030557626,1.363277602447591,40
27,0.7664640323869223,0.9261307828425182,37
28,0.9941441873585504,1.2384075199207152,35
29,0.7896565502932344,0.9696567489605286,25
30,0.7179930242033975,1.1542748603398685,33
31,0.8156012464429883,1.43421899472884,27
32,0.856347756131123,1.2832454804812223,24
33,0.7305475475446366,1.1622878699829873,24
34,0.6075325589413363,2.275210465534612,21
35,0.5480182453028156,1.0228813339227056,14
36,1.0960364906056312,1.2455549673135697,18
37,0.5437341642953255,1.3325084768334094,13
38,0.9277787645117215,1.1608909740319306,12
39,1.159834885251642,1.9781333130676326,15
40,0.9112988384120044,1.0480113232092934,13
41,0.641595947113253,0.8129307690822909,11
42,0.8156012464429883,0.8608718603363755,11
43,0.8571304963206579,1.0063279313543263,10
44,0.5898430611653086,0.593970667580399,5
45,0.6075325589413363,0.763969975493813,5
46,0.7821639508821705,1.0819376627195427,8
47,1.0549622297028123,1.9734346839815857,11
48,1.076989536305096,0.8980921606846224,5
49,0.9870706878665431,1.3440253547931822,9
50,0.692038773140437,0.6483779117517846,8
