country_code,year,mean_norm,n
,2023,1.1193177906055896,5334
,2024,0.9215144688772993,14968
,2025,1.0213547037846293,48870
AU,2023,1.0929525938804685,5524
AU,2024,1.3017843025948104,3047
AU,2025,0.9527755154614629,1609
CA,2023,1.0285349124144543,4077
CA,2024,1.0598116793400802,2335
CA,2025,1.052792255559801,1255
CN,2023,0.9778392912472036,89799
CN,2024,1.000679847556248,57587
CN,2025,0.9909937233156089,30080
DE,2023,1.034137314039769,7481
DE,2024,0.9955832181515412,4611
DE,2025,0.9745435949442504,2838
ES,2023,0.9696686822907472,3523
ES,2024,1.0146870318303154,1749
ES,2025,0.9857528277984717,1185
GB,2023,1.0754775857843677,9117
GB,2024,1.1318569198265138,5385
GB,2025,1.0313621713690573,3038
IN,2023,1.0198433637787365,11169
IN,2024,1.014361986787587,6521
IN,2025,1.0923446139091335,3070
IT,2023,0.9316293294160294,6300
IT,2024,0.9563824418048039,3694
IT,2025,0.9801023193749729,2267
KR,2023,0.9094733480175599,5332
KR,2024,0.8889473388618454,3454
KR,2025,0.9210235576976941,2006
SA,2023,1.0218907498146568,3661
SA,2024,1.032847063485604,2243
SA,2025,1.1478827250728532,1331
US,2023,1.1220959166793292,30955
US,2024,1.0716832086988595,19554
US,2025,1.0068465100182737,11622
