venue,median_norm,p90,n_works
IEEE Transactions on Wireless Communications,0.8072202165814365,1.5585559566303115,67
Biomedical Signal Processing and Control,0.806845965553171,1.613691931106342,500
Optics & Laser Technology,0.8062157220897065,1.2546312716914043,72
IEEE Transactions on Artificial Intelligence,0.8061090651897471,1.7732558138503922,56
Advanced Intelligent Systems,0.8051307350494579,1.758825190319915,103
Measurement Sensors,0.804821150827203,1.4753376442118689,60
Journal of Sound and Vibration,0.8040889495124812,1.7916908211902567,72
Optics Express,0.8033707864581808,1.5927351724125978,65
Environmental Science & Technology,0.8017013232244339,1.4659999999706803,58
Advanced Engineering Informatics,0.8013066871209141,1.6444444441064197,403
Symmetry,0.8009708737280847,1.5729087964960606,115
Renewable and Sustainable Energy Reviews,0.8006456819815819,1.8239709442642915,112
Journal of Material Science and Technology,0.7999999997866667,2.0328671327771,50
Computer Networks,0.7992125983991258,1.66687116513547,60
ACS Omega,0.7989644163110325,1.4896915169801745,50
Agronomy,0.7989309210306217,1.597861842061243,133
Control Engineering Practice,0.7977529292882753,1.353276353179966,76
Applied Acoustics,0.7977207976889797,1.5772792022101827,63
Materials,0.7971530248845549,1.6417910442370238,63
Separation and Purification Technology,0.7967479674343313,1.6040506328626623,53
IEEE Transactions on Computational Social Systems,0.7960526315213383,1.420015515855329,67
IEEE Transactions on Fuzzy Systems,0.7959183671357768,1.7975524474970246,178
Journal of Intelligent Manufacturing,0.7949579831645519,1.4865239608508924,75
NeuroImage,0.7948969577783642,1.7569384015104552,88
Energy and Buildings,0.7943731898785479,1.5700577554020756,178
Chaos An Interdisciplinary Journal of Nonlinear Science,0.7936717978064977,1.613461376037744,78
ACS Applied Materials & Interfaces,0.7936507936088016,1.5672759696394392,133
ISPRS Journal of Photogrammetry and Remote Sensing,0.7930258717241032,1.692727272677004,181
Engineering Structures,0.7927317523626485,1.9035937357725052,213
Entropy,0.7916666663532986,1.9330115829481465,82
Energy and AI,0.7913669064463537,1.6776713597587916,79
Journal of Hydrology,0.7912087911879243,1.661538461494641,137
Structural Health Monitoring,0.791141988590383,1.7254776864642358,56
Robotics and Computer-Integrated Manufacturing,0.7910447760957897,1.6307352126359096,124
Journal of Marine Science and Engineering,0.7894546041547184,1.5453244274226714,146
Journal of Cleaner Production,0.7886958776011727,1.7629321625563843,257
IEEE Transactions on Information Forensics and Security,0.7879831610960787,1.6314606740363187,134
Engineering Technology & Applied Science Research,0.7878787875684115,1.4493150683789928,54
Ocean Engineering,0.7868852456952432,1.62895723925337,481
Chemical Science,0.7868813570283126,1.5581102361370467,80
PLoS ONE,0.7864248098008595,1.647747220535134,362
Energy Reports,0.7862169890287709,1.6068859197917962,186
Chaos Solitons & Fractals,0.7861171366336869,1.6726503216025137,339
Agriculture,0.7847411443628507,1.6610169486927129,165
Advanced Functional Materials,0.7847295864087047,1.726891447738217,357
European Radiology,0.78460399700845,1.4554404144506752,80
Briefings in Bioinformatics,0.784258482030447,1.5858417677725871,206
Energies,0.7838479809417686,1.516129031798335,357
European Journal of Operational Research,0.7831325300959501,1.6820878323318218,67
Computational and Structural Biotechnology Journal,0.782608695448015,1.7355828220042568,52
Displays,0.7826086953459358,1.5652173906918716,50
Physical Review Letters,0.7823303456635474,1.3790439606146916,162
IEEE Sensors Journal,0.7814207649803517,1.6261978809085857,253
IEEE Transactions on Vehicular Technology,0.7811624649594634,1.6166666666117597,163
Information Sciences,0.7810924369278587,1.7424369746852233,492
Nano Energy,0.7808219177761306,1.7659145847811395,126
Physica A Statistical Mechanics and its Applications,0.7804878045734681,1.5609756091469362,65
IEEE Transactions on Intelligent Transportation Systems,0.7801460699691203,1.8260869560453685,430
PLoS Computational Biology,0.7792207789171867,1.547130288625326,104
Computers and Electronics in Agriculture,0.7789890980944725,1.7934782603334714,623
IEEE Transactions on Multimedia,0.7778065854048908,1.7951775991144885,214
Physica Scripta,0.7777777774753085,1.5365853657880726,70
Energy,0.7772277225709162,1.8135313526654713,734
Nonlinear Dynamics,0.7757278754422715,1.8246468722359523,300
Sustainable Cities and Society,0.7744133232206241,1.6875351602796012,143
Internet of Things,0.7741935480874089,2.0116539667769167,103
Journal of the Franklin Institute,0.7738095237496456,1.6932484838701467,72
Processes,0.772727272428719,1.5395762130506658,118
Buildings,0.7722960151260437,1.4499999999474376,151
Robotics and Autonomous Systems,0.7713812883757066,1.5961867439562174,50
IEEE Robotics and Automation Letters,0.7713498622292042,1.5161290316834029,196
Chemical Engineering Journal,0.7705479450075647,1.733555870771121,227
Automation in Construction,0.7700296735685437,1.6874999995253908,362
eLife,0.7693817467894576,1.5999999998780952,81
International Journal of Human-Computer Interaction,0.7692307689349112,1.578947368365651,67
ACM Transactions on Multimedia Computing Communications and Applications,0.7692307689349112,1.5738775509176244,50
Angewandte Chemie International Edition,0.7690140844918786,2.223798548755295,83
Scientific Reports,0.7688251423356203,1.6580537567805376,2304
Applied Soft Computing,0.7687253613438945,1.6764126149307235,554
IEEE Transactions on Neural Systems and Rehabilitation Engineering,0.7687188019685328,1.647254575646856,91
Education and Information Technologies,0.7683887915718278,1.7246059544167698,142
Nature Neuroscience,0.768377878367072,1.6312024928859765,52
ACS Sensors,0.7682926828776399,1.5946398659512415,51
Tribology International,0.7679324894061138,1.8312236285838115,77
Science Advances,0.7664640323869223,1.839197180325774,284
Sensors,0.7656329435200371,1.6532058263324145,1289
IEEE Transactions on Industrial Electronics,0.7647058820605536,1.6724481550756698,182
Mathematics,0.7639442230626765,1.7230730748866177,327
Archives of Computational Methods in Engineering,0.7634984381771325,1.966821130314781,109
Transportation Research Part E Logistics and Transportation Review,0.7633053220985282,1.5904761901560096,60
Light Science & Applications,0.7631738340261084,1.972243911984622,79
IEEE Transactions on Power Electronics,0.7611940296576074,1.571664040985793,173
Multimedia Tools and Applications,0.7602389078257475,1.6525992570316252,477
IEEE Transactions on Transportation Electrification,0.7599309153450802,1.8688524584342916,78
Measurement Science and Technology,0.7588235293877725,1.6253889942241724,97
Cluster Computing,0.7584650112507274,1.401050956236064,100
Future Generation Computer Systems,0.7580641896666501,1.7719151311572001,94
Pattern Recognition,0.7571528261977115,1.65714285668517,529
IEEE Access,0.7570224718691778,1.575469706516668,1929
Diagnostics,0.7567537145217884,1.7097028365121887,371
Solar Energy,0.7567298105433977,1.800042728860423,52
IEEE Transactions on Cybernetics,0.7564003102951905,1.8637703645673491,155
Journal of Environmental Management,0.7555923777605064,1.8881118875177272,150
Structures,0.755277399941898,1.389473683727867,116
Nature Communications,0.7552213866577443,1.883787514007882,1083
Mechanical Systems and Signal Processing,0.7546391750679052,1.7508249877731974,543
The Journal of Supercomputing,0.7540983603714055,1.5123762375750969,121
IEEE Transactions on Robotics,0.7536973833687801,1.6780432308965292,130
IEEE Transactions on Evolutionary Computation,0.7529880477877654,1.8662239927421926,88
Knowledge-Based Systems,0.7527634487630955,1.694409937795585,547
Cancers,0.7521367521149941,1.6825153727895668,127
IEEE Transactions on Intelligent Vehicles,0.7516666666153028,1.5966452885581623,157
The Visual Computer,0.748826291054324,1.662106377612015,70
IEEE Internet of Things Journal,0.7487242653284332,1.8399429726508523,363
ACS Nano,0.7485331097924639,1.7613800335895162,135
ISA Transactions,0.7484848484417539,1.7657657657021346,131
Expert Systems with Applications,0.748222222182234,1.725014212640185,1768
Journal of Hazardous Materials,0.7472995377458054,1.7826366558453786,54
Image and Vision Computing,0.7471470872132898,1.8227685030064933,76
Ecological Indicators,0.7466892498019202,2.0437553801816475,64
IEEE Transactions on Circuits and Systems for Video Technology,0.7453703703462148,1.7175925925369298,314
The Science of The Total Environment,0.7449735449388584,1.8658407470684277,129
Applied Intelligence,0.7440944881582165,1.4207188159775446,134
Results in Engineering,0.7439724454419205,1.7205882352097763,400
Pattern Recognition Letters,0.7438539300836446,1.2666282196411964,58
Procedia Computer Science,0.743852458966092,1.7471067960696889,205
Journal of Chemical Theory and Computation,0.743589743569265,1.5752886486563975,125
Remote Sensing of Environment,0.7435785807393815,1.5810426101690769,94
Advanced Science,0.7434402331993047,1.8285027472031428,194
iScience,0.743063932423636,1.3892278509165374,53
Remote Sensing,0.7423089645796509,1.598075778804929,498
Engineering Applications of Artificial Intelligence,0.742271343865819,1.809110628521765,1159
Automatica,0.7390329381963885,1.6728971959587309,136
Building and Environment,0.7389443651665801,1.6767013164814966,145
IEEE Journal on Selected Areas in Communications,0.737187519019509,1.9985194616100135,68
IEEE Transactions on Circuits and Systems I Regular Papers,0.7371078654613068,2.019047618951474,64
Journal of Power Sources,0.7360959650819253,1.6273822161644937,69
npj Computational Materials,0.7358953393114662,1.9326655761082818,133
Case Studies in Construction Materials,0.7356321837727573,2.130655957096379,59
Advanced Materials,0.7345360823663182,1.7972540045440317,301
Journal of Clinical Medicine,0.7342657342400606,1.6924549134379403,79
Neural Networks,0.7326254826021461,1.7621220158253785,365
Ecological Informatics,0.7323943659289823,1.9783168077519788,142
Electric Power Systems Research,0.7320490367288653,1.8571889700663968,116
International Journal of Production Research,0.7312252964213003,1.7841897232679726,71
PeerJ Computer Science,0.7301587298921642,1.4603174597843285,81
BMC Bioinformatics,0.7292445773908448,1.6510097232128733,77
IEEE Transactions on Industrial Informatics,0.728112534096363,1.9461434867479561,260
Frontiers in Plant Science,0.7262569831996505,1.564245809968478,159
Reliability Engineering & System Safety,0.7227241924360419,1.8185895647872365,454
IEEE Transactions on Neural Networks and Learning Systems,0.7222222220483538,1.8976545841317212,373
Drones,0.7219512194687607,1.8269927751636208,160
Journal of Chemical Information and Modeling,0.7213114753664785,1.8062429821860695,195
Fractal and Fractional,0.7211931937959519,1.873867047049978,76
Neurocomputing,0.7208806817810626,1.7143093484071532,495
Nature Machine Intelligence,0.7191078483443546,1.9448438168234372,142
Water Research,0.7179487179119001,2.2277272726783304,69
Information Fusion,0.7173743161979123,1.7132867128673774,483
Computers and Education Artificial Intelligence,0.7160977319792983,2.1759637662331808,90
Soft Computing,0.7144592952369322,1.565006075280899,136
Frontiers in Oncology,0.7132179386102369,1.8176211452389364,60
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,0.712025316286703,1.8579088470803857,241
Frontiers in Artificial Intelligence,0.7112471197871382,1.8940092165462215,80
Water,0.7111597373790394,1.6874999994304687,105
Journal of the American Medical Informatics Association,0.7103960395751225,1.6183459520315964,76
Frontiers in Psychology,0.7096774191030176,1.6629794105262878,120
IEEE Transactions on Automatic Control,0.7094322753469152,1.9228260868555032,123
Decision Analytics Journal,0.7089686098492568,1.6312024928859765,79
Science China Information Sciences,0.7088677756451621,1.9524280573206787,74
Electronics,0.7088607592424291,1.7721518981060727,576
E3S Web of Conferences,0.7083678541616256,1.467108533508078,50
Technological Forecasting and Social Change,0.7081107333471405,1.9008530403474766,179
IEEE Transactions on Instrumentation and Measurement,0.7072243345650343,1.6509765350023915,445
Computer Methods in Applied Mechanics and Engineering,0.7040229884703436,1.7412145416632885,184
Communications in Nonlinear Science and Numerical Simulation,0.7034612296383829,1.785854503368259,82
IEEE Transactions on Medical Imaging,0.7014333638107558,1.603574543786942,173
IEEE Transactions on Emerging Topics in Computational Intelligence,0.7012089809841667,1.7788494748648975,75
