institution_name,institution_median_norm,p90,n_works
Tianjin Medical University Cancer Institute and Hospital,0.9794933654675201,3.262404985771953,56
Zhongkai University of Agriculture and Engineering,0.9780935464430388,3.006410695135285,77
University of Ulsan,0.9780916690359075,4.294985250572759,294
Free University of Bozen-Bolzano,0.9761218452052591,2.727537639559356,56
Hubei Engineering University,0.9760616909549741,1.8260807725531047,52
Kaunas University of Technology,0.9759579831417828,1.9569892467647125,100
Universidade de Santiago de Compostela,0.975786924915053,8.12679882248921,74
Center for Translational Research in Neuroimaging and Data Science,0.9710982658285944,1.8666666665795557,60
Institute of Management Technology,0.9707026185860587,1.897435897338593,51
Beijing Institute of Nanoenergy and Nanosystems,0.9695774838997694,1.8754343069464319,380
Vector Institute,0.9693608467507007,2.4206349205388635,90
University of St Andrews,0.9651283858527446,1.8214109514555512,86
German Centre for Integrative Biodiversity Research,0.9638789701446446,1.7121372115619478,54
Italian Institute of Technology,0.9626274065314504,2.0369609855593604,231
RIKEN Center for Advanced Intelligence Project,0.9624548736163282,2.9336868486114738,87
Vilnius Gediminas Technical University,0.9619238476645475,1.9842519678477277,51
German Cancer Research Center,0.9599999995391999,3.536523929350773,320
Teesside University,0.9548611110592446,1.6088409040472134,60
Abbottabad University of Science and Technology,0.9543488706846245,1.9507784358620301,63
Bandung Institute of Technology,0.9543488706846245,1.760791366850104,61
Swansea University,0.9528023598581157,13.394980184869777,181
Anglia Ruskin University,0.9512195118935157,1.7881156156747633,65
Singidunum University,0.9499775412936016,2.2631578946177284,148
Karunya University,0.9493670885729296,1.863829745378149,54
Tsinghua–Berkeley Shenzhen Institute,0.9491449144671013,1.6312024928859765,267
Max Planck Institute for Gravitational Physics,0.9479166666024847,1.7246824578723547,77
"Istituto Nazionale di Fisica Nucleare, Trento Institute for Fundamental Physics And Applications",0.9479166666024847,1.6666666661111111,52
23andMe (United States),0.9477401129796255,0.9870706878665431,75
Universidad de Buenos Aires,0.9473684207534626,2.1807619030297047,57
Moffitt Cancer Center,0.9440267333221805,1.5740616299843713,121
Collaborative Innovation Center of Advanced Microstructures,0.9437488978644937,1.925014778737157,335
Northeast Electric Power University,0.9431616340700731,1.6948051947556715,306
Shaqra University,0.9426137529208065,1.468912289977718,54
Anhui Jianzhu University,0.940239043769448,1.640160303649323,130
NYU Langone Health,0.9389139547275197,2.015903491032616,82
Princess Margaret Cancer Centre,0.9389139547275197,1.8954022002449724,88
Siemens Healthcare (United States),0.9381541388635463,1.8461538457278108,53
Pfizer (United States),0.9377891761221355,1.332545428619833,94
Vanderbilt University Medical Center,0.9377171534732159,5.517814726740373,261
Zayed University,0.9377171534732159,3.39665930680838,51
Multimedia University,0.9377171534732159,1.6182615178800124,114
Kyung Hee University Medical Center,0.9377171534732159,1.1371158391937668,55
Cancer Research UK,0.9377171534732159,1.033737878166837,77
Liverpool John Moores University,0.9375669831976048,2.2949346404136217,136
Charles Darwin University,0.9354587761272377,3.071120689572438,98
Gachon University,0.9342833443025973,1.7956380778592687,396
De Montfort University,0.9326380759506315,2.0712780258890215,63
Universiti Teknologi Petronas,0.9313725489739524,2.7701863352438534,214
Woxsen School of Business,0.9310624492796645,1.7425084809194438,55
Pukyong National University,0.9304812831338615,2.36842105200831,120
Torrens University Australia,0.9291636345136147,2.8871294019727647,82
Tashkent State University of Economics,0.9283276448357465,2.0394537176891827,51
Thomas Jefferson University,0.9283276448357465,1.3136493008312289,57
SASTRA University,0.9267468861862753,1.9149089935895143,116
Chandigarh University,0.9267468861862753,1.7412935322776664,231
Institute of Food Science and Technology,0.9254237287476818,1.833333332773148,69
Bilkent University,0.9237695718730377,5.62336798704741,64
Liaocheng University,0.9230769230268012,2.188183807320121,168
Xijing University,0.9225901708027443,2.17112299397901,95
Aston University,0.921658986153879,2.077431122145408,125
Suez University,0.9213891806796257,1.6296227528187126,118
Allen Institute,0.9191489360763423,1.0497075360894752,75
Hunan University of Technology,0.9190714195171144,1.9680121857320452,232
Broad Institute,0.9189189188940834,2.1234350201951107,374
Louisiana State University,0.9174311926324945,2.751031636803279,123
The University of Texas Southwestern Medical Center,0.9156626505604878,4.294985250572759,355
Jadara University,0.914634146306607,1.9030695750336393,60
Democritus University of Thrace,0.913532376863347,1.4177215184848582,89
Beni-Suef University,0.9130429189090726,2.5569892471523596,82
Jain University,0.9112988384120044,2.0040970906416726,117
Met Office,0.9112988384120044,0.9112988384120044,57
Naval Academy,0.9100229827360238,2.1289098566815903,86
Civil Aviation University of China,0.909288430155044,1.9591836733627654,121
University of South Africa,0.9077612853246687,1.7427621722004136,56
University of Miami,0.9073091055304245,1.435986048406795,152
Mansoura University,0.9072623224172405,2.124996595750796,376
Universidade Federal de Uberlândia,0.9069767441544078,2.4062499991728514,55
North Carolina Agricultural and Technical State University,0.9069767439118442,2.285024154467946,50
Henan Institute of Science and Technology,0.9059829057093043,1.441561691789525,142
PLA Rocket Force University of Engineering,0.9044403519060458,1.48282442742149,60
University of Delhi,0.904109588972978,1.3624500417497942,93
Flanders Make (Belgium),0.9037433154766078,1.4757834757246124,63
Mohamed bin Zayed University of Artificial Intelligence,0.9023840302784946,6.579556731501451,155
University of Engineering and Technology Taxila,0.9023840302784946,1.4824007262181644,115
Jiangxi Agricultural University,0.9020979018266418,2.1431620719114246,95
Guangdong Ocean University,0.9020979018266418,1.7363344050776977,94
Ningbo University of Technology,0.9019237730347679,1.816145833283358,124
King Faisal University,0.9016198311349066,1.9741413757330861,250
State Key Joint Laboratory of Environment Simulation and Pollution Control,0.897920604872499,2.043518607348131,57
Kwangwoon University,0.8970942658192577,2.4444444443869897,82
Düsseldorf University Hospital,0.8963460843188074,1.618203309621899,50
Karabük University,0.8958195089314455,1.8619034379923791,67
Shanghai University of Engineering Science,0.8955223878592113,2.4694929709259528,338
Air University,0.8944482519608739,1.8799999994950858,169
KIIT University,0.8944482519608739,1.8115942027891552,111
Parul University,0.8944482519608739,1.506788864776437,55
Riphah International University,0.8939580764212715,2.035705737369167,145
University of Žilina,0.89323843410671,2.8131514604196477,73
National Center for Biotechnology Information,0.8930693068944398,2.6660906364671946,62
Wenzhou University of Technology,0.892667375094892,2.1395348836877592,94
"Institute of Optics and Electronics, Chinese Academy of Sciences",0.8918918918540123,1.7658730152493545,106
Air Force Engineering University,0.8903225806011239,1.696308132151711,138
Shaoxing University,0.8890086206657057,1.4538730223228384,83
Chongqing University of Science and Technology,0.8890086206657057,1.3514351381263219,135
Zhejiang Gongshang University,0.8886087259031199,1.6313043477863685,142
Abdul Wali Khan University Mardan,0.8884412716590491,1.900262617524214,152
Guangdong Academy of Medical Sciences,0.8883636190798888,2.8337907897954535,164
Xuzhou Medical College,0.8883636190798888,1.5536938308410881,127
Shanghai Institute of Technology,0.8883636190798888,1.4593675965821682,98
Trine University,0.8883636190798888,1.2560086023783321,86
Jamia Millia Islamia,0.8881987577281162,2.2420382164819666,125
Xinjiang Production and Construction Corps,0.8867942697475067,1.159274193489956,60
Zhongyuan University of Technology,0.8857644567124191,2.3966386553695416,62
University of the Punjab,0.8855421686373566,1.8538328770020926,155
Boğaziçi University,0.8842859761768123,2.1428571427933676,64
"The Graduate Center, CUNY",0.883720930218857,2.392523364396541,51
City University of New York,0.883720930218857,2.3345441720128126,59
State Key Laboratory of Transducer Technology,0.8836837220964892,1.1883048022760385,51
South Valley University,0.8834951455710246,1.5995556038907335,72
Beijing Academy of Agricultural and Forestry Sciences,0.8833570412178511,1.3841807905772607,172
Buraydah Colleges,0.8829897991443139,1.94832542752,60
Wenzhou University,0.882352940916955,1.9110955804478569,492
Mass General Brigham,0.8820058996711915,1.6981479664710335,96
University of Huddersfield,0.8814451069578086,2.0234949101264132,126
Prince Mohammad bin Fahd University,0.8813559320091928,2.076540187495366,54
University of Management and Technology,0.8808099729611006,2.7212321043156518,166
Jiangxi University of Science and Technology,0.8807857084741022,2.1286725208067696,168
Changzhou University,0.8805104408015582,2.009016074258172,352
University of Wisconsin–Milwaukee,0.8802083332737358,2.531028368783107,154
Albert Einstein College of Medicine,0.8802083332737358,1.7121372115619478,62
Guangdong Polytechnic Normal University,0.8799999999296,1.3384231929194477,126
Lawrence Berkeley National Laboratory,0.879024430557471,3.065277911022197,440
Chouaib Doukkali University,0.8789314949937377,1.6922586329829405,55
Christ University,0.8784441422225964,1.8682473222072518,72
Second Affiliated Hospital of Xi'an Jiaotong University,0.878048780230815,1.6553395254706906,58
Ferdowsi University of Mashhad,0.8774798260940353,1.7121372115619478,96
Southern Methodist University,0.8771923448027377,1.849551981742876,52
INTI International University,0.8763388509903965,2.474498954034893,58
Nottingham Trent University,0.8759244877031251,1.7503598799617102,124
Beijing Technology and Business University,0.8753551135912904,1.5408123280495765,290
Dalian University,0.8750904306475055,1.99792952297775,246
Yancheng Institute of Technology,0.8749999999635417,2.4215277777111437,86
Guangdong Academy of Agricultural Sciences,0.8743169396996028,2.2356423918698027,64
Intel (United States),0.8728763437952534,2.6341463406924452,142
University of Liverpool,0.8727272726979783,2.067475756333674,411
The University of Texas at San Antonio,0.8721304366286451,2.0908958746595347,136
East China Jiaotong University,0.8720930230022985,1.889366563395598,293
Southwest Medical University,0.8717948717501643,1.3391030684110568,55
Hunan Institute of Science and Technology,0.8713826535829026,1.173954473233465,60
Hallym University,0.8713351613137029,2.4468037393289648,61
National Institute of Technology Tiruchirappalli,0.870005962991161,2.097040430688783,94
Key Laboratory of Guangdong Province,0.8692543411316012,2.076242756879837,146
Shenzhen University Health Science Center,0.8692543411316012,1.0857777566531974,56
Karpagam Academy of Higher Education,0.8689791847559467,1.7867514091575987,50
Shenzhen Academy of Robotics,0.8681318681083167,1.341884558415763,66
Federation University,0.8675715205053169,2.3506078289196757,52
Research Center for Eco-Environmental Sciences,0.8672566371412798,1.307692307264793,81
Tea Research Institute,0.8670520230837984,1.8946673960559,109
Dalian Minzu University,0.8664666166241329,1.5503266821627215,99
Abu Dhabi University,0.8664495113470275,1.8384831459680033,75
University of Portsmouth,0.8662420381696622,1.4868188168167757,77
Vanderbilt University,0.8657243815719076,2.174936657181302,374
Zhejiang Ocean University,0.8656832297637042,1.9170442662423754,195
American International University-Bangladesh,0.8651685392790603,3.0240455598534397,116
Zhejiang Lab,0.8651685392790603,1.8298672150411515,453
International Islamic University Malaysia,0.8651685392790603,1.5472553006667549,58
Weizmann Institute of Science,0.8650306745971997,2.0295385545084645,75
Stockholm University,0.8650306745971997,1.9404255317167225,182
North Dakota State University,0.8649637604405236,1.8754343069464319,119
Vidyasagar University,0.8642839596909615,1.4208606823144672,70
Hashemite University,0.8636649469546709,1.6312024928859765,78
University of North Texas,0.8635394455792845,4.2527279125893545,131
University of Parma,0.8634812286365245,1.5384615378698223,94
Zagazig University,0.8600917430699488,1.8568345323146553,218
Shenzhen Polytechnic,0.8600917430699488,1.7380469312877027,99
National Institute of Technology Kurukshetra,0.8593882738957095,1.4757834757246124,86
"University of Maryland, College Park",0.8592750532481076,2.067393030477605,340
Khulna University,0.8585858585641771,2.091286306932456,57
California Institute of Technology,0.8576718295145407,2.8692160611185384,412
Sichuan Agricultural University,0.8568548386664891,1.1680713931222508,263
Southwest University of Science and Technology,0.8562691131236615,1.816458422987058,261
University of Reading,0.8560686057809739,13.394980184869777,135
University of Central Florida,0.8560686057809739,4.244272537878312,219
Hebei University,0.8560686057809739,2.3541114057574895,288
Second Xiangya Hospital of Central South University,0.8560686057809739,2.142480211002652,91
University of Göttingen,0.8560686057809739,2.0728484445197406,179
Port Said University,0.8560686057809739,1.80294659295259,51
Jazan University,0.8560686057809739,1.7314325306315455,169
Novartis (Switzerland),0.8560686057809739,1.7260273972129858,51
University of Beira Interior,0.8560686057809739,1.7065553770456545,53
Al al-Bayt University,0.855671373700932,1.937210540793948,90
